,ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Cash_Demand_Lag_2,Cash_Demand_Lag_7,Cash_Demand_MA_3,Cash_Demand_MA_7,Withdrawals_MA_7,Net_Cash_Flow,Withdrawal_to_Deposit_Ratio,Cash_Level_Change,Cash_Utilization_Rate
1284,ATM_0001,2022-03-17,Thursday,Evening,40466,11041,Mall,0,0,107207,Rainy,2,28441,62604.0,34587.0,51636.666666666664,45967.857142857145,53034.0,-29425,3.6647346495200144,10888.0,0.37745669592470643
3169,ATM_0001,2022-03-18,Friday,Afternoon,70415,15914,Bank Branch,0,0,69110,Rainy,1,54469,63865.0,23665.0,48925.0,50368.42857142857,57097.28571428572,-54501,4.424442349984291,-38097.0,1.0188829402401969
437,ATM_0001,2022-04-06,Wednesday,Night,38826,6037,Standalone,0,0,93840,Cloudy,1,37733,28441.0,40364.0,40214.333333333336,49992.57142857143,54438.71428571428,-32789,6.430274925472011,24730.0,0.4137468030690537
1446,ATM_0001,2022-04-11,Monday,Night,44099,6187,Bank Branch,0,0,84792,Clear,0,33879,54469.0,38910.0,42027.0,49273.857142857145,53346.71428571428,-37912,7.126535229476406,-9048.0,0.5200844419284838
3729,ATM_0001,2022-04-12,Tuesday,Night,58494,7427,Standalone,0,0,79156,Snowy,5,44974,37733.0,63926.0,38862.0,46566.42857142857,52659.71428571428,-51067,7.874798061389337,-5636.0,0.7389711455859316
52,ATM_0001,2022-04-25,Monday,Morning,82159,13169,Bank Branch,0,0,59497,Snowy,4,83492,33879.0,62604.0,54115.0,49550.42857142857,55546.71428571428,-68990,6.238344722854974,-19659.0,1.3808931542766862
2315,ATM_0001,2022-04-26,Tuesday,Evening,49580,15346,Supermarket,0,0,95835,Snowy,1,45705,44974.0,63865.0,58057.0,46956.142857142855,54862.71428571428,-34234,3.2305988141004756,36338.0,0.5173475243908802
3978,ATM_0001,2022-05-02,Monday,Evening,40242,16249,Standalone,0,0,89962,Clear,0,21415,83492.0,28441.0,50204.0,45952.42857142857,54830.71428571428,-23993,2.4764307692307694,-5873.0,0.44732220270781
764,ATM_0001,2022-05-05,Thursday,Afternoon,38066,12121,Gas Station,0,0,125590,Cloudy,1,27375,45705.0,54469.0,31498.333333333332,42081.857142857145,50209.42857142857,-25945,3.140240884342518,35628.0,0.3030973803646787
2029,ATM_0001,2022-05-12,Thursday,Afternoon,46816,5327,Bank Branch,0,0,101551,Clear,0,43740,21415.0,37733.0,30843.333333333332,42940.0,51350.857142857145,-41489,8.786786786786786,-24039.0,0.4610097389489025
4172,ATM_0001,2022-05-15,Sunday,Night,61600,7883,Supermarket,0,0,74819,Cloudy,4,59121,27375.0,33879.0,43412.0,46546.0,53851.0,-53717,7.813292744799594,-26732.0,0.8233202796081209
2389,ATM_0001,2022-05-17,Tuesday,Afternoon,55730,7969,Gas Station,0,0,110743,Cloudy,1,58964,43740.0,44974.0,53941.666666666664,48544.57142857143,53456.142857142855,-47761,6.992471769134253,35924.0,0.5032372249261804
1041,ATM_0001,2022-05-21,Saturday,Evening,61739,4523,Standalone,0,0,36465,Cloudy,2,66160,59121.0,83492.0,61415.0,46068.57142857143,50539.0,-57216,13.646993810786915,-74278.0,1.6931029754559166
5481,ATM_0001,2022-05-24,Tuesday,Evening,46420,4887,Supermarket,0,0,78274,Clear,2,39954,58964.0,45705.0,55026.0,45247.0,50087.57142857143,-41533,9.496726677577742,41809.0,0.5930449446815035
1561,ATM_0001,2022-05-27,Friday,Evening,48292,7581,Supermarket,0,0,95065,Clear,3,51500,66160.0,21415.0,52538.0,49544.857142857145,51237.57142857143,-40711,6.369295700342917,16791.0,0.5079892704991321
2044,ATM_0001,2022-05-27,Friday,Morning,26192,8963,Bank Branch,0,0,112470,Snowy,0,16555,39954.0,27375.0,36003.0,47999.142857142855,49541.28571428572,-17229,2.921909861668898,17405.0,0.23287987907886548
3196,ATM_0001,2022-06-02,Thursday,Night,62416,14011,Standalone,0,1,102014,Clear,0,51361,51500.0,43740.0,39805.333333333336,49087.857142857145,51769.857142857145,-48405,4.454467599200685,-10456.0,0.6118375909188934
2405,ATM_0001,2022-06-03,Friday,Night,24913,14132,Gas Station,0,0,85100,Rainy,0,14034,16555.0,59121.0,27316.666666666668,42646.857142857145,46528.857142857145,-10781,1.7627538385339276,-16914.0,0.2927497062279671
2926,ATM_0001,2022-06-11,Saturday,Night,40642,8615,Mall,0,0,120495,Clear,2,31564,51361.0,58964.0,32319.666666666668,38732.57142857143,44373.42857142857,-32027,4.717038068709378,35395.0,0.3372920038175858
3808,ATM_0001,2022-06-15,Wednesday,Afternoon,54773,8357,Mall,0,0,98782,Clear,3,43501,14034.0,66160.0,29699.666666666668,35495.57142857143,43378.28571428572,-46416,6.553362048336923,-21713.0,0.5544836103743597
465,ATM_0001,2022-06-17,Friday,Night,58877,10509,Standalone,0,0,130980,Snowy,1,48091,31564.0,39954.0,41052.0,36658.0,45157.857142857145,-48368,5.601998097050428,32198.0,0.44951137578256223
4644,ATM_0001,2022-06-19,Sunday,Afternoon,61802,12952,Bank Branch,0,0,122797,Rainy,2,45472,43501.0,51500.0,45688.0,35796.857142857145,47087.857142857145,-48850,4.771249903497259,-8183.0,0.5032859108935887
733,ATM_0001,2022-06-30,Thursday,Night,32070,1586,Gas Station,0,0,79519,Snowy,3,26179,48091.0,16555.0,39914.0,37171.71428571428,47927.57142857143,-30484,20.207939508506616,-43278.0,0.4032998402897421
2863,ATM_0001,2022-07-09,Saturday,Afternoon,37211,13049,Bank Branch,0,0,97110,Clear,0,32877,45472.0,51361.0,34842.666666666664,34531.142857142855,44326.857142857145,-24162,2.8514176245210727,17591.0,0.38318401812377717
5290,ATM_0001,2022-07-13,Wednesday,Morning,46492,7618,Gas Station,0,0,120126,Rainy,5,44577,26179.0,14034.0,34544.333333333336,38894.42857142857,47409.57142857143,-38874,6.102113138207113,23016.0,0.38702695503055123
5166,ATM_0001,2022-07-14,Thursday,Evening,62850,18980,Supermarket,0,0,73396,Snowy,3,58911,32877.0,31564.0,45455.0,42801.142857142855,50582.142857142855,-43870,3.3112059427848903,-46730.0,0.8563136955692409
2409,ATM_0001,2022-07-16,Saturday,Afternoon,25717,6723,Gas Station,0,0,103899,Cloudy,0,18027,44577.0,43501.0,40505.0,39162.0,46431.28571428572,-18994,3.824657941701368,30503.0,0.24751922540159194
2932,ATM_0001,2022-07-28,Thursday,Morning,33132,10405,Mall,0,0,83011,Rainy,0,23842,58911.0,48091.0,33593.333333333336,35697.857142857145,42753.42857142857,-22727,3.1839323467230445,-20888.0,0.39912782643264144
4399,ATM_0001,2022-07-28,Thursday,Afternoon,62470,10503,Standalone,0,0,110282,Clear,2,50263,18027.0,45472.0,30710.666666666668,36382.28571428572,42848.857142857145,-51967,5.947258187357197,27271.0,0.5664569013982336
3388,ATM_0001,2022-08-03,Wednesday,Evening,70375,15317,Gas Station,0,0,112122,Rainy,0,64346,23842.0,26179.0,46150.333333333336,41834.71428571428,48321.0,-55058,4.594268181224703,1840.0,0.6276645083034552
2014,ATM_0001,2022-08-19,Friday,Evening,34984,15165,Gas Station,0,0,86971,Rainy,4,17238,50263.0,32877.0,43949.0,39600.57142857143,48002.857142857145,-19819,2.3067387577475933,-25151.0,0.40224902553724806
4722,ATM_0001,2022-09-07,Wednesday,Afternoon,49180,9217,Bank Branch,0,0,89063,Clear,5,44319,64346.0,44577.0,41967.666666666664,39563.71428571428,48386.857142857145,-39963,5.335213712302018,2092.0,0.5521933911949968
3285,ATM_0001,2022-09-15,Thursday,Morning,61621,8158,Bank Branch,0,0,90392,Clear,4,58362,17238.0,58911.0,39973.0,39485.28571428572,48211.28571428572,-53463,7.552518691016056,1329.0,0.6817085582794937
1965,ATM_0001,2022-09-23,Friday,Evening,63451,12111,Supermarket,0,0,77427,Cloudy,3,42919,44319.0,18027.0,48533.333333333336,43041.28571428572,53601.857142857145,-51340,5.238688903566711,-12965.0,0.8194944915856226
518,ATM_0001,2022-09-29,Thursday,Afternoon,35543,5214,Bank Branch,0,0,106875,Snowy,2,25434,58362.0,23842.0,42238.333333333336,43268.71428571428,53946.28571428572,-30329,6.815532118887823,29448.0,0.332566081871345
2672,ATM_0001,2022-10-06,Thursday,Evening,66680,7242,Bank Branch,0,0,69861,Snowy,3,70234,42919.0,50263.0,46195.666666666664,46121.71428571428,54547.71428571428,-59438,9.206130056606378,-37014.0,0.9544667267860466
2950,ATM_0001,2022-10-16,Sunday,Evening,75645,16049,Gas Station,0,0,108793,Cloudy,2,72789,25434.0,64346.0,56152.333333333336,47327.857142857145,55300.57142857143,-59596,4.713084112149533,38932.0,0.695311279218332
3714,ATM_0001,2022-10-16,Sunday,Afternoon,71705,16359,Bank Branch,0,0,74836,Cloudy,2,66029,70234.0,17238.0,69684.0,54298.0,60546.42857142857,-55346,4.3829462102689485,-33957.0,0.9581618472392966
3975,ATM_0001,2022-10-20,Thursday,Evening,17268,6825,Bank Branch,0,0,109219,Rainy,0,10896,72789.0,44319.0,49904.666666666664,49523.28571428572,55987.57142857143,-10443,2.529739232346909,34383.0,0.1581043591316529
1840,ATM_0001,2022-10-31,Monday,Morning,40124,7027,Gas Station,0,1,109562,Snowy,4,37410,66029.0,58362.0,38111.666666666664,46530.142857142855,52916.57142857143,-33097,5.709163346613546,343.0,0.36622186524524925
796,ATM_0001,2022-11-04,Friday,Afternoon,67891,3710,Bank Branch,0,0,114627,Clear,5,77560,10896.0,42919.0,41955.333333333336,51478.857142857145,53550.857142857145,-64181,18.29452977634061,5065.0,0.5922775611330664
2884,ATM_0001,2022-11-06,Sunday,Morning,69652,14322,Supermarket,0,0,56746,Snowy,1,60113,37410.0,25434.0,58361.0,56433.0,58423.57142857143,-55330,4.8629477064860716,-57881.0,1.2274345328305079
3493,ATM_0001,2022-11-06,Sunday,Night,77276,7579,Gas Station,0,0,116095,Cloudy,5,78121,77560.0,70234.0,71931.33333333333,57559.71428571428,59937.28571428572,-69697,10.194722955145119,59349.0,0.6656272879968991
5101,ATM_0001,2022-11-06,Sunday,Night,28044,12472,Gas Station,0,0,72323,Clear,5,11500,60113.0,72789.0,49911.333333333336,48804.142857142855,53137.142857142855,-15572,2.2483764932253667,-43772.0,0.3877604634763492
68,ATM_0001,2022-11-08,Tuesday,Evening,62381,14067,Bank Branch,0,0,126109,Snowy,3,44558,78121.0,66029.0,44726.333333333336,45736.857142857145,51805.142857142855,-48314,4.43424793858402,53786.0,0.4946593819632223
5238,ATM_0001,2022-11-12,Saturday,Evening,53362,7740,Bank Branch,0,0,145431,Cloudy,2,45094,11500.0,10896.0,33717.333333333336,50622.28571428572,56961.42857142857,-45622,6.8934246221418425,19322.0,0.36692314568420764
2452,ATM_0001,2022-11-19,Saturday,Night,39222,13917,Mall,0,0,114165,Clear,4,37152,44558.0,37410.0,42268.0,50585.42857142857,56832.57142857143,-25305,2.818077309958327,-31266.0,0.34355538037051636
1625,ATM_0001,2022-11-23,Wednesday,Morning,59320,3817,Standalone,0,0,125488,Snowy,1,61732,45094.0,77560.0,47992.666666666664,48324.28571428572,55608.142857142855,-55503,15.536930330015714,11323.0,0.4727145225041438
1984,ATM_0001,2022-11-23,Wednesday,Night,40834,13981,Gas Station,0,0,99967,Clear,3,22040,37152.0,60113.0,40308.0,42885.28571428572,51491.28571428572,-26853,2.9204691746531255,-25521.0,0.4084747966829054
2681,ATM_0001,2022-11-28,Monday,Evening,39786,12758,Gas Station,0,0,137937,Rainy,5,29725,61732.0,78121.0,37832.333333333336,35971.57142857143,46135.57142857143,-27028,3.1182694568539855,37970.0,0.28843602514191263
3415,ATM_0001,2022-11-30,Wednesday,Morning,55787,2978,Mall,0,0,88325,Snowy,3,43793,22040.0,11500.0,31852.666666666668,40584.857142857145,50098.857142857145,-52809,18.726753944276602,-49612.0,0.6316105292952165
5520,ATM_0001,2022-11-30,Wednesday,Evening,51694,5339,Mall,0,0,80690,Snowy,4,48197,29725.0,44558.0,40571.666666666664,41104.71428571428,48572.142857142855,-46355,9.680524344569289,-7635.0,0.6406493989341926
4847,ATM_0001,2022-12-16,Friday,Afternoon,37620,7757,Gas Station,0,0,117965,Cloudy,0,32791,43793.0,45094.0,41593.666666666664,39347.142857142855,46323.28571428572,-29863,4.849187935034803,37275.0,0.318908150722672
179,ATM_0001,2023-01-02,Monday,Afternoon,42157,3277,Supermarket,0,0,81626,Rainy,2,36700,48197.0,37152.0,39229.333333333336,39282.57142857143,46742.57142857143,-38880,12.860585723001831,-36339.0,0.516465341925367
3131,ATM_0001,2023-01-19,Thursday,Night,67942,6933,Supermarket,0,0,93221,Clear,4,50053,32791.0,61732.0,39848.0,37614.142857142855,47974.28571428572,-61009,9.798384770695126,11595.0,0.7288271955889767
2025,ATM_0001,2023-01-25,Wednesday,Night,33527,7755,Gas Station,1,1,91877,Clear,2,36170,36700.0,22040.0,40974.333333333336,39632.71428571428,46930.42857142857,-25772,4.322717895822589,-1344.0,0.36491178423326837
4499,ATM_0001,2023-02-02,Thursday,Evening,52708,12983,Bank Branch,0,0,100664,Cloudy,5,41422,50053.0,29725.0,42548.333333333336,41303.71428571428,48776.42857142857,-39725,4.059457794208257,8787.0,0.5236032742589207
2931,ATM_0001,2023-02-07,Tuesday,Evening,70166,10717,Supermarket,0,0,83737,Snowy,5,61895,36170.0,43793.0,46495.666666666664,43889.71428571428,50830.57142857143,-59449,6.546557193506251,-16927.0,0.8379330522946845
4001,ATM_0001,2023-02-28,Tuesday,Afternoon,76188,13435,Supermarket,0,0,105484,Cloudy,4,56434,41422.0,48197.0,53250.333333333336,45066.42857142857,54329.71428571428,-62753,5.670437630247098,21747.0,0.7222706761214971
990,ATM_0001,2023-03-04,Saturday,Morning,55553,12921,Mall,0,1,97990,Clear,3,45043,61895.0,32791.0,54457.333333333336,46816.71428571428,56891.57142857143,-42632,4.29910230614456,-7494.0,0.5669251964486172
4362,ATM_0001,2023-03-05,Sunday,Evening,42126,12858,Standalone,0,0,124570,Snowy,3,33763,56434.0,36700.0,45080.0,46397.142857142855,56887.142857142855,-29268,3.2759934676102342,26580.0,0.3381713093040058
3576,ATM_0001,2023-03-10,Friday,Morning,35927,11785,Supermarket,0,0,82081,Cloudy,0,29107,45043.0,50053.0,35971.0,43404.857142857145,52313.57142857143,-24142,3.0482776175123028,-42489.0,0.4377017823856922
753,ATM_0001,2023-03-17,Friday,Evening,51978,7727,Supermarket,0,0,95626,Clear,4,40760,33763.0,36170.0,34543.333333333336,44060.57142857143,54949.42857142857,-44251,6.725931677018633,13545.0,0.5435551000773848
4170,ATM_0001,2023-03-29,Wednesday,Evening,51231,6098,Standalone,0,0,120936,Clear,2,52033,29107.0,41422.0,40633.333333333336,45576.42857142857,54738.42857142857,-45133,8.399901623216921,25310.0,0.423620758086922
1678,ATM_0001,2023-04-10,Monday,Morning,39289,15892,Bank Branch,0,0,94009,Clear,0,32267,40760.0,61895.0,41686.666666666664,41343.857142857145,50327.42857142857,-23397,2.4720946328572326,-26927.0,0.4179280707166335
3310,ATM_0001,2023-04-11,Tuesday,Evening,51888,12533,Standalone,0,0,91982,Clear,1,38975,52033.0,56434.0,41091.666666666664,38849.71428571428,46856.0,-39355,4.139779798946864,-2027.0,0.564110369420104
4184,ATM_0001,2023-04-23,Sunday,Evening,27002,1292,Gas Station,0,0,113417,Rainy,0,24423,32267.0,45043.0,31888.333333333332,35904.0,42777.28571428572,-25710,20.88321732405259,21435.0,0.23807718419637267
4792,ATM_0001,2023-04-27,Thursday,Afternoon,25922,5440,Gas Station,0,0,81182,Snowy,2,21011,38975.0,33763.0,28136.333333333332,34082.28571428572,40462.42857142857,-20482,4.764197757765117,-32235.0,0.31930723559409724
2406,ATM_0001,2023-04-28,Friday,Afternoon,41421,14076,Mall,0,0,76375,Snowy,5,33349,24423.0,29107.0,26261.0,34688.28571428572,41247.28571428572,-27345,2.9424593308233287,-4807.0,0.5423371522094926
3922,ATM_0001,2023-05-03,Wednesday,Morning,22012,10142,Mall,0,0,119580,Snowy,0,15662,21011.0,40760.0,23340.666666666668,31102.85714285714,36966.42857142857,-11870,2.1701666173715863,43205.0,0.18407760495066064
2981,ATM_0001,2023-05-29,Monday,Morning,51280,1524,Standalone,0,0,107346,Snowy,3,56182,33349.0,52033.0,35064.333333333336,31695.571428571428,36973.42857142857,-49756,33.62622950819672,-12234.0,0.47770759972425614
2287,ATM_0001,2023-06-01,Thursday,Morning,50003,10827,Gas Station,0,0,119322,Clear,5,46385,15662.0,32267.0,39409.666666666664,33712.42857142857,38504.0,-39176,4.617934983376432,11976.0,0.4190593520054977
4919,ATM_0001,2023-06-02,Friday,Night,57329,9961,Gas Station,0,0,67752,Snowy,3,44997,56182.0,38975.0,49188.0,34572.71428571428,39281.28571428572,-47368,5.754768118851636,-51570.0,0.8461595229661117
103,ATM_0001,2023-06-14,Wednesday,Afternoon,61362,8624,Mall,0,0,53961,Cloudy,3,58361,46385.0,24423.0,49914.333333333336,39421.0,44189.857142857145,-52738,7.114434782608695,-13791.0,1.1371546116639795
5240,ATM_0001,2023-06-22,Thursday,Night,55033,0,Mall,0,0,138880,Cloudy,2,48968,44997.0,21011.0,50775.333333333336,43414.857142857145,48348.57142857143,-55033,55033.0,84919.0,0.3962629608294931
1144,ATM_0001,2023-06-23,Friday,Afternoon,62290,12119,Gas Station,0,1,80684,Rainy,3,54203,58361.0,33349.0,53844.0,46394.0,51329.857142857145,-50171,5.1394389438943895,-58196.0,0.7720241931485796
3559,ATM_0001,2023-07-01,Saturday,Night,71804,1999,Standalone,0,0,114130,Rainy,3,80647,48968.0,15662.0,61272.666666666664,55677.57142857143,58443.0,-69805,35.902,33446.0,0.6291422062560238
3929,ATM_0001,2023-07-03,Monday,Evening,56774,8200,Gas Station,0,0,108242,Rainy,4,48417,54203.0,56182.0,61089.0,54568.28571428572,59227.857142857145,-48574,6.92281429094013,-5888.0,0.5245098944956671
4047,ATM_0001,2023-07-03,Monday,Night,43341,10167,Bank Branch,0,0,73939,Clear,5,38527,80647.0,46385.0,55863.666666666664,53445.71428571428,58276.142857142855,-33174,4.262490165224233,-34303.0,0.586172385344676
3475,ATM_0001,2023-07-05,Wednesday,Morning,67820,5187,Standalone,0,0,101640,Rainy,0,70814,48417.0,44997.0,52586.0,57133.857142857145,59774.857142857145,-62633,13.072474942174248,27701.0,0.6672569854388036
2779,ATM_0001,2023-07-07,Friday,Afternoon,49775,10730,Mall,0,0,91437,Snowy,4,46350,38527.0,58361.0,51897.0,55418.0,58119.57142857143,-39045,4.638430714751654,-10203.0,0.5443638789549089
5348,ATM_0001,2023-07-11,Tuesday,Afternoon,45861,9091,Standalone,0,0,88483,Clear,1,33737,70814.0,48968.0,50300.333333333336,53242.142857142855,56809.28571428572,-36770,5.044104707435108,-2954.0,0.5183029508493157
1018,ATM_0001,2023-07-14,Friday,Evening,59784,1843,Standalone,0,0,109605,Snowy,4,52114,46350.0,54203.0,44067.0,52943.71428571428,56451.28571428572,-57941,32.420824295010846,21122.0,0.545449568906528
5636,ATM_0001,2023-07-28,Friday,Afternoon,41211,0,Mall,0,0,149275,Rainy,0,33454,33737.0,80647.0,39768.333333333336,46201.857142857145,52080.857142857145,-41211,41211.0,39670.0,0.27607435940378494
158,ATM_0001,2023-08-03,Thursday,Morning,52937,5108,Supermarket,0,0,108165,Snowy,1,51470,52114.0,48417.0,45679.333333333336,46638.0,51532.71428571428,-47829,10.361518888236445,-41110.0,0.4894096981463505
3516,ATM_0001,2023-08-10,Thursday,Evening,47349,13984,Bank Branch,0,0,124093,Rainy,2,38164,33454.0,38527.0,41029.333333333336,46586.142857142855,52105.28571428572,-33365,3.38569896317483,15928.0,0.38156060374074285
5421,ATM_0001,2023-08-14,Monday,Evening,47716,14768,Gas Station,0,0,112401,Clear,3,38145,51470.0,70814.0,42593.0,41919.142857142855,49233.28571428572,-32948,3.230821314916379,-11692.0,0.4245157961228103
3836,ATM_0001,2023-08-21,Monday,Evening,50654,10699,Standalone,0,0,139393,Cloudy,5,34910,38164.0,46350.0,37073.0,40284.857142857145,49358.857142857145,-39955,4.734018691588785,26992.0,0.36338984023587984
2501,ATM_0001,2023-08-25,Friday,Night,68112,5930,Mall,0,1,103609,Cloudy,1,75569,38145.0,33737.0,49541.333333333336,46260.857142857145,52537.57142857143,-62182,11.484066767830045,-35784.0,0.6573946278798174
5647,ATM_0001,2023-09-12,Tuesday,Evening,32282,7633,Mall,0,0,74380,Clear,1,33517,34910.0,52114.0,47998.666666666664,43604.142857142855,48608.71428571428,-24649,4.228713649462929,-29229.0,0.43401452003226676
1864,ATM_0001,2023-09-14,Thursday,Evening,25712,13148,Mall,0,0,94681,Cloudy,3,15046,75569.0,33454.0,41377.333333333336,40974.42857142857,46394.57142857143,-12564,1.9554338732983496,20301.0,0.2715645166400862
853,ATM_0001,2023-09-15,Friday,Night,49108,8267,Bank Branch,0,0,67768,Cloudy,3,36726,33517.0,51470.0,28429.666666666668,38868.142857142855,45847.57142857143,-40841,5.939525882922109,-26913.0,0.7246488017943572
4249,ATM_0001,2023-09-20,Wednesday,Evening,53723,11638,Mall,0,0,101147,Snowy,1,43927,15046.0,38164.0,31899.666666666668,39691.42857142857,46758.142857142855,-42085,4.615774551078271,33379.0,0.5311378488734219
1458,ATM_0001,2023-09-24,Sunday,Afternoon,23668,6524,Mall,0,0,109462,Snowy,1,13731,36726.0,38145.0,31461.333333333332,36203.71428571428,43322.71428571428,-17144,3.62727969348659,8315.0,0.21622115437320713
3262,ATM_0001,2023-10-04,Wednesday,Evening,54674,13226,Supermarket,0,0,108760,Cloudy,0,41130,43927.0,34910.0,32929.333333333336,37092.28571428572,43897.0,-41448,4.133514780373479,-702.0,0.5027031997057742
5383,ATM_0001,2023-10-05,Thursday,Night,45827,4766,Gas Station,0,0,106322,Snowy,0,41215,13731.0,75569.0,32025.333333333332,32184.571428571428,40713.42857142857,-41061,9.613383679462975,-2438.0,0.43102086115761556
5199,ATM_0001,2023-10-13,Friday,Morning,53650,7805,Mall,0,0,75014,Clear,2,40505,41130.0,33517.0,40950.0,33182.857142857145,43766.0,-45845,6.872918267998975,-31308.0,0.7151998293651851
2063,ATM_0001,2023-10-15,Sunday,Morning,43471,2539,Supermarket,0,0,125904,Clear,5,47614,41215.0,15046.0,43111.333333333336,37835.42857142857,46303.0,-40932,17.114566929133858,50890.0,0.34527100012708095
4682,ATM_0001,2023-10-28,Saturday,Afternoon,74503,4793,Gas Station,0,0,78304,Clear,0,79106,40505.0,36726.0,55741.666666666664,43889.71428571428,49930.857142857145,-69710,15.540884438881935,-47600.0,0.9514584184715978
4934,ATM_0001,2023-11-07,Tuesday,Night,54163,11648,Bank Branch,0,0,81799,Snowy,2,37534,47614.0,43927.0,54751.333333333336,42976.42857142857,49993.71428571428,-42515,4.649583655249377,3495.0,0.6621474590153914
2726,ATM_0001,2023-11-08,Wednesday,Afternoon,49924,7783,Gas Station,0,0,69487,Snowy,4,47005,79106.0,13731.0,54548.333333333336,47729.857142857145,53744.57142857143,-42141,6.413669064748201,-12312.0,0.7184653244491775
1871,ATM_0001,2023-11-12,Sunday,Night,47497,9940,Gas Station,0,0,80439,Clear,0,43235,37534.0,41130.0,42591.333333333336,48030.57142857143,52719.28571428572,-37557,4.777889548335177,10952.0,0.5904722833451436
1645,ATM_0001,2023-11-18,Saturday,Afternoon,63091,11815,Gas Station,0,0,65578,Rainy,3,47421,47005.0,41215.0,45887.0,48917.142857142855,55185.57142857143,-51276,5.339454976303317,-14861.0,0.9620756961176005
1062,ATM_0001,2023-11-22,Wednesday,Night,40879,4927,Mall,0,0,73198,Clear,0,29752,43235.0,40505.0,40136.0,47381.0,53361.142857142855,-35952,8.295251623376624,7620.0,0.5584715429383317
2469,ATM_0001,2023-11-29,Wednesday,Evening,43149,16922,Supermarket,0,0,105040,Rainy,3,34693,47421.0,47614.0,37288.666666666664,45535.142857142855,53315.142857142855,-26227,2.549725226023755,31842.0,0.4107863670982483
2974,ATM_0001,2023-11-30,Thursday,Morning,50331,0,Standalone,0,0,73638,Rainy,3,54733,29752.0,79106.0,39726.0,42053.28571428572,49862.0,-50331,50331.0,-31402.0,0.6834922186914365
1638,ATM_0001,2023-12-06,Wednesday,Morning,68912,13083,Standalone,0,0,101759,Clear,0,51472,34693.0,37534.0,46966.0,44044.42857142857,51969.0,-55829,5.266890859064506,28121.0,0.6772079128136086
4855,ATM_0001,2023-12-10,Sunday,Night,35959,11511,Gas Station,0,0,89383,Clear,2,25628,54733.0,47005.0,43944.333333333336,40990.57142857143,49974.0,-24448,3.123610145934677,-12376.0,0.40230245124911895
2825,ATM_0001,2023-12-13,Wednesday,Night,61831,15452,Bank Branch,0,0,120899,Clear,1,55588,51472.0,43235.0,44229.333333333336,42755.28571428572,52021.71428571428,-46379,4.001229534718178,31516.0,0.5114268935226925
4247,ATM_0001,2023-12-16,Saturday,Evening,43862,5669,Gas Station,0,0,105574,Clear,0,36225,25628.0,47421.0,39147.0,41155.857142857145,49274.71428571428,-38193,7.735802469135803,-15325.0,0.415462140299695
